order_detail_id,order_id,item_id,quantity
174,515,86,5
175,1649,228,4
176,89,27,1
177,1895,138,2
178,324,202,1
179,994,132,1
180,146,230,2
181,1478,114,5
182,1188,84,4
183,408,192,3
184,472,200,1
185,668,59,1
186,486,189,4
187,1782,52,4
188,1826,57,1
189,965,150,4
190,112,228,4
191,297,56,5
192,932,46,4
193,765,35,4
194,1475,50,3
195,1998,70,2
196,688,33,1
197,1418,146,1
198,575,35,1
199,1745,120,4
200,857,44,3
201,451,227,3
202,1237,41,5
203,1855,44,5
204,1987,142,2
205,178,106,5
206,1002,221,2
207,1212,122,4
208,572,4,4
209,1508,224,2
210,508,84,4
211,1187,57,5
212,1938,39,5
213,1840,2,4
214,91,11,4
215,1503,197,5
216,69,109,5
217,808,123,1
218,927,127,2
219,171,143,1
220,1420,188,4
221,1946,56,2
222,735,76,2
223,1327,24,1
224,983,172,3
225,332,181,4
226,1758,147,5
227,50,250,4
228,950,198,2
229,1791,181,4
230,379,203,3
231,1284,119,1
232,1763,161,1
233,789,229,3
234,1088,9,3
235,873,193,3
236,1430,243,5
237,1111,148,2
238,1614,176,1
239,1271,226,3
240,1507,239,1
241,1055,243,3
242,1819,14,1
243,785,94,4
244,1268,11,3
245,751,45,5
246,1444,18,5
247,1453,199,2
248,284,86,2
249,1106,30,4
250,1511,241,5
251,1785,246,2
252,1543,191,2
253,657,91,3
254,1032,175,4
255,568,14,1
256,764,89,4
257,996,129,5
258,1699,32,4
259,1454,137,5
260,1843,75,4
261,1272,95,1
262,386,229,4
263,179,21,4
264,1839,46,3
265,1963,245,1
266,224,43,3
267,230,179,2
268,1017,39,2
269,1067,244,1
270,601,107,5
271,1909,34,4
272,711,108,4
273,1511,166,1
274,598,49,1
275,46,224,2
276,1710,243,5
277,1321,86,4
278,1186,88,3
279,996,152,5
280,1725,141,4
281,938,78,5
282,271,230,3
283,352,203,3
284,465,124,3
285,1989,74,1
286,304,91,3
287,934,245,2
288,1267,237,2
289,1458,138,3
290,374,250,2
291,1719,182,2
292,331,61,1
293,85,82,5
294,260,113,3
295,758,48,2
296,1152,182,1
297,1364,82,3
298,303,96,4
299,1106,250,2
300,1093,78,1
301,1886,7,4
302,1907,128,2
303,1942,118,3
304,320,2,5
305,1999,130,3
306,1326,181,3
307,971,230,3
308,1986,242,5
309,1366,38,5
310,1493,233,4
311,694,177,1
312,1499,123,1
313,286,174,5
314,240,79,1
315,823,159,2
316,914,92,1
317,669,15,5
318,1314,50,5
319,1079,57,3
320,401,6,1
321,1103,218,4
322,1387,172,1
323,1999,132,4
324,399,126,3
325,1236,155,5
326,1933,15,3
327,815,38,4
328,758,99,3
329,25,73,3
330,720,79,4
331,1791,144,1
332,442,187,4
333,1519,107,4
334,592,42,4
335,1493,230,4
336,286,214,5
337,1225,23,2
338,426,78,4
339,1777,135,3
340,136,239,5
341,1549,97,1
342,14,105,3
343,849,45,5
344,947,182,5
345,1547,235,2
346,409,48,4
347,593,142,4
348,87,211,3
349,1710,150,3
350,1012,144,4
351,460,7,1
352,316,68,3
353,1958,164,4
354,255,168,3
355,855,46,4
356,1858,177,2
357,59,31,3
358,1010,249,1
359,1227,191,3
360,1191,124,5
361,894,223,3
362,1287,176,4
363,1996,178,1
364,765,132,5
365,36,217,3
366,334,149,1
367,300,82,4
368,1799,178,2
369,732,42,1
370,559,93,4
371,1304,234,3
372,100,75,3
373,1085,164,1
374,1053,50,2
375,1567,25,5
376,1542,43,5
377,661,224,3
378,1694,217,3
379,556,176,3
380,197,137,5
381,721,211,2
382,27,36,5
383,577,96,4
384,844,88,2
385,210,56,2
386,1031,57,2
387,1629,230,5
388,1257,177,5
389,1733,137,5
390,1439,194,1
391,855,118,1
392,239,210,2
393,1892,5,4
394,714,80,3
395,285,210,4
396,1823,153,5
397,1564,249,3
398,353,182,3
399,59,191,1
400,456,33,2
401,1410,59,3
402,257,54,2
403,161,109,1
404,160,5,4
405,1552,111,1
406,403,28,1
407,1625,169,5
408,1215,16,4
409,244,233,3
410,89,17,3
411,1368,3,1
412,1603,32,5
413,421,151,2
414,379,172,3
415,60,24,2
416,1733,192,3
417,1944,149,3
418,722,42,5
419,1600,187,5
420,496,130,5
421,140,26,5
422,1564,4,5
423,445,184,2
424,1975,73,2
425,1847,194,5
426,9,250,1
427,1893,55,5
428,1744,182,4
429,751,179,5
430,380,113,1
431,371,214,3
432,778,109,2
433,1054,59,4
434,232,195,3
435,254,120,1
436,1065,35,4
437,1562,93,3
438,1142,185,1
439,169,84,4
440,237,99,3
441,936,154,3
442,1408,250,4
443,463,142,4
444,596,219,4
445,387,220,1
446,1833,216,4
447,1924,174,3
448,368,4,4
449,1377,27,4
450,898,134,1
451,245,37,4
452,821,178,5
453,209,190,2
454,133,94,2
455,694,52,5
456,1729,104,1
457,477,215,4
458,1486,128,3
459,1567,183,5
460,1216,70,4
461,730,122,5
462,1946,104,4
463,1048,72,2
464,1573,117,1
465,251,65,4
466,1019,60,2
467,61,26,1
468,1701,18,4
469,1389,7,2
470,784,155,3
471,313,78,5
472,1277,25,1
473,1354,193,5
474,1572,127,4
475,414,76,4
476,1005,130,3
477,1111,88,5
478,1120,5,1
479,882,226,1
480,786,116,3
481,1747,97,4
482,942,10,1
483,363,143,3
484,1812,181,2
485,1007,111,2
486,640,184,4
487,999,196,1
488,1166,173,4
489,1352,142,5
490,1172,121,4
491,1152,219,2
492,1038,15,4
493,540,127,5
494,1989,97,5
495,1386,91,3
496,657,16,1
497,1210,12,2
498,1715,94,3
499,1658,190,5
500,56,196,3
501,780,25,4
502,707,92,4
503,720,15,2
504,508,61,3
505,1214,22,1
506,1780,79,1
507,692,44,1
508,1103,84,1
509,944,169,4
510,1164,132,4
511,547,6,4
512,1205,6,3
513,774,147,4
514,661,147,1
515,1656,126,1
516,1415,173,2
517,689,128,5
518,1662,196,3
519,342,158,3
520,745,249,4
521,414,128,1
522,1722,218,5
523,439,74,3
524,98,77,5
525,824,206,2
526,1280,191,1
527,1470,217,5
528,195,152,3
529,560,18,5
530,1641,136,4
531,875,54,3
532,1630,20,3
533,1034,206,3
534,887,170,5
535,642,52,4
536,824,65,5
537,1056,117,5
538,370,226,1
539,1286,181,5
540,1767,48,5
541,1023,55,4
542,549,240,5
543,1657,158,4
544,1915,145,1
545,1070,52,3
546,948,38,2
547,309,192,3
548,1729,112,4
549,653,221,1
550,1299,53,4
551,547,211,3
552,1324,42,3
553,1407,154,2
554,832,62,1
555,308,50,1
556,503,205,3
557,951,125,5
558,894,109,1
559,414,41,3
560,280,8,3
561,1618,206,3
562,1349,141,2
563,1320,219,1
564,1974,185,4
565,1603,6,1
566,1761,230,1
567,643,155,3
568,1776,17,4
569,1837,94,1
570,813,242,2
571,484,29,5
572,1505,129,1
573,1069,171,5
574,1945,199,5
575,516,128,1
576,488,154,1
577,1584,207,3
578,675,214,5
579,1510,100,2
580,1916,109,2
581,296,28,2
582,439,249,3
583,901,105,3
584,1768,151,1
585,1005,137,3
586,1433,243,1
587,649,140,4
588,973,175,2
589,1973,72,2
590,744,122,3
591,1683,79,1
592,1322,248,5
593,72,216,1
594,1415,235,2
595,519,142,4
596,634,164,3
597,1850,208,1
598,1096,222,2
599,1757,114,4
600,17,233,4
601,1900,235,3
602,617,24,2
603,610,54,2
604,1876,113,3
605,1802,208,4
606,1617,9,3
607,1775,21,4
608,965,189,4
609,1898,216,3
610,1470,109,1
611,1689,42,3
612,1037,17,3
613,862,155,5
614,1511,84,4
615,1424,8,1
616,1314,165,2
617,1291,114,2
618,7,103,2
619,1287,79,3
620,1180,22,1
621,324,64,5
622,1462,249,2
623,1735,153,4
624,1624,241,3
625,925,123,2
626,534,45,5
627,1694,84,3
628,407,22,4
629,753,47,4
630,1795,97,5
631,460,6,1
632,1891,143,5
633,1284,59,1
634,1996,119,2
635,537,180,2
636,102,103,5
637,879,154,3
638,306,23,3
639,349,243,5
640,241,4,5
641,892,198,4
642,1695,173,4
643,243,58,2
644,391,243,3
645,590,192,4
646,783,34,4
647,1754,53,5
648,442,211,3
649,1489,174,2
650,857,47,4
651,1623,38,1
652,595,250,3
653,483,159,4
654,1859,64,3
655,1194,176,4
656,176,3,4
657,273,224,3
658,1996,178,4
659,1407,55,4
660,1451,109,5
661,525,19,1
662,1141,16,1
663,682,239,2
664,965,233,3
665,1242,241,5
666,1454,192,1
667,11,65,5
668,1270,98,3
669,809,172,3
670,271,248,5
671,85,149,2
672,534,44,5
673,1010,239,3
674,1798,120,2
675,184,82,5
676,887,37,3
677,240,81,1
678,262,128,3
679,1532,93,4
680,580,232,3
681,1256,213,3
682,1059,81,4
683,1829,43,3
684,1510,126,2
685,1139,219,4
686,109,49,2
687,112,59,2
688,74,121,3
689,335,181,4
690,894,30,4
691,84,114,3
692,1453,144,4
693,938,127,1
694,1733,185,2
695,254,90,1
696,418,223,3
697,370,214,2
698,1536,131,3
699,1154,229,5
700,435,150,1
701,1078,197,5
702,370,107,1
703,505,197,4
704,1387,25,3
705,54,73,1
706,808,96,5
707,1903,244,1
708,1715,83,2
709,60,21,4
710,1702,182,4
711,930,161,3
712,1217,169,1
713,675,249,1
714,1344,160,4
715,666,243,5
716,265,55,1
717,1642,165,3
718,662,205,1
719,1524,19,5
720,1950,155,4
721,190,103,3
722,365,62,4
723,183,6,2
724,334,100,4
725,584,166,2
726,247,77,4
727,1641,111,3
728,1851,176,5
729,269,92,1
730,1705,95,5
731,410,126,4
732,1814,100,4
733,550,145,5
734,867,24,4
735,1661,95,5
736,382,112,4
737,191,11,5
738,700,250,4
739,1386,58,2
740,1907,127,5
741,1290,166,5
742,172,75,4
743,896,21,4
744,616,39,2
745,1402,232,3
746,1724,64,5
747,876,76,5
748,98,142,1
749,1879,12,5
750,221,131,4
751,846,25,4
752,1354,185,5
753,1665,65,3
754,522,150,1
755,1575,129,1
756,234,190,4
757,368,202,2
758,1727,101,1
759,171,107,3
760,643,151,4
761,1552,172,4
762,1278,207,3
763,700,248,2
764,433,48,1
765,1530,155,3
766,1786,173,1
767,889,137,1
768,12,102,1
769,28,44,4
770,943,178,4
771,1780,169,5
772,1487,125,3
773,1267,209,5
774,739,177,4
775,1648,78,1
776,257,35,1
777,391,29,1
778,1426,249,2
779,1760,7,2
780,986,167,2
781,1331,62,4
782,1725,161,5
783,391,23,3
784,1577,119,2
785,971,109,1
786,239,43,2
787,1514,180,4
788,1974,125,4
789,41,221,4
790,1199,63,2
791,604,146,4
792,105,86,1
793,211,162,4
794,852,218,4
795,1510,149,5
796,1498,142,3
797,76,125,4
798,996,132,5
799,1485,157,4
800,475,183,1
801,1082,5,4
802,1181,81,5
803,131,69,4
804,1821,122,1
805,1014,160,3
806,919,179,4
807,43,42,3
808,1488,50,4
809,705,113,2
810,1040,57,5
811,1862,176,3
812,1888,155,4
813,269,227,3
814,1481,183,4
815,1966,107,3
816,1631,121,2
817,1274,54,3
818,1415,192,1
819,1367,124,2
820,355,52,2
821,1241,126,1
822,1626,107,4
823,622,61,2
824,1141,13,1
825,735,226,3
826,732,174,2
827,358,212,5
828,66,207,1
829,692,111,1
830,1265,59,1
831,1151,58,4
832,529,88,3
833,1576,12,5
834,548,230,2
835,1748,177,5
836,1238,172,1
837,1447,13,4
838,1637,118,1
839,1997,28,5
840,1249,201,1
841,1687,144,1
842,1039,27,2
843,1291,31,2
844,1866,93,2
845,1492,75,4
846,1561,130,4
847,1501,223,1
848,316,166,3
849,686,210,2
850,252,218,2
851,900,249,4
852,1576,197,1
853,503,214,4
854,700,74,5
855,351,22,3
856,763,184,4
857,739,162,2
858,311,193,5
859,864,202,2
860,283,206,4
861,847,236,4
862,1840,118,5
863,1628,175,3
864,1933,8,4
865,299,198,1
866,1470,207,5
867,1933,18,1
868,693,81,4
869,1582,43,4
870,126,101,1
871,1353,237,2
872,1849,148,1
873,1294,183,5
874,1993,76,4
875,824,227,5
876,1790,78,3
877,1863,89,1
878,1694,72,5
879,1251,236,2
880,1435,104,4
881,1319,53,5
882,1279,202,5
883,1336,114,3
884,1818,208,4
885,1589,51,3
886,173,10,5
887,686,100,2
888,1066,139,3
889,438,24,5
890,1131,80,5
891,698,194,2
892,48,8,5
893,1214,67,2
894,1705,199,3
895,1488,109,5
896,227,188,1
897,1724,96,3
898,1285,130,3
899,254,13,1
900,920,77,5
901,1510,2,4
902,695,61,5
903,1159,183,5
904,1730,153,2
905,718,77,3
906,1366,201,5
907,1378,36,4
908,1065,189,2
909,216,84,5
910,1193,50,3
911,931,26,2
912,1458,109,4
913,168,24,1
914,871,228,2
915,976,55,4
916,160,95,5
917,825,151,5
918,1063,200,4
919,1786,68,5
920,1022,163,4
921,902,177,4
922,1499,250,4
923,1688,42,2
924,1036,33,4
925,1457,118,2
926,1983,181,5
927,1768,136,1
928,1423,55,4
929,970,9,2
930,1934,144,3
931,1888,244,1
932,1233,219,4
933,226,31,3
934,1171,75,1
935,1071,40,1
936,761,79,3
937,622,76,4
938,58,203,2
939,292,201,5
940,864,13,3
941,1821,73,2
942,375,210,4
943,5,32,5
944,715,18,1
945,856,124,5
946,635,145,4
947,1844,87,4
948,974,214,5
949,272,196,2
950,1034,163,4
951,1560,116,4
952,306,222,3
953,183,205,5
954,1361,160,4
955,794,60,4
956,695,139,1
957,1963,172,4
958,1508,72,1
959,1774,43,1
960,1172,162,3
961,1150,166,1
962,1319,144,1
963,395,245,5
964,1110,148,1
965,1961,146,5
966,388,193,4
967,1030,230,1
968,247,169,5
969,369,247,1
970,564,202,2
971,503,213,5
972,910,22,5
973,1243,83,4
974,1207,12,4
975,1766,240,1
976,697,112,2
977,850,7,5
978,650,98,3
979,187,30,1
980,1110,44,3
981,295,47,3
982,1574,23,2
983,629,244,4
984,1390,44,1
985,1259,247,3
986,372,7,1
987,611,100,1
988,656,37,4
989,1829,83,3
990,770,242,1
991,107,52,2
992,1541,153,5
993,485,127,5
994,1541,130,4
995,1945,30,3
996,125,82,4
997,1133,105,1
998,992,8,4
999,1298,60,1
1000,552,142,5
1001,1383,26,2
1002,1563,143,2
1003,624,146,4
1004,914,22,5
1005,417,201,2
1006,765,139,2
1007,1602,63,5
1008,1951,109,5
1009,926,11,1
1010,1665,119,5
1011,593,168,2
1012,2,16,4
1013,560,154,3
1014,1720,175,4
1015,720,216,2
1016,1199,216,5
1017,577,12,2
1018,1514,137,5
1019,144,77,1
1020,810,179,1
1021,1701,36,5
1022,573,225,4
1023,432,157,5
1024,1961,206,3
1025,1811,175,3
1026,1301,67,4
1027,560,63,3
1028,700,54,4
1029,1965,154,3
1030,33,234,2
1031,1324,237,1
1032,1247,122,1
1033,1847,3,2
1034,847,143,4
1035,1562,101,5
1036,167,202,1
1037,1104,8,4
1038,1377,32,3
1039,1991,209,4
1040,1695,154,3
1041,793,46,1
1042,256,119,3
1043,1918,50,4
1044,20,57,1
1045,1554,72,3
1046,393,24,5
1047,1281,78,2
1048,480,127,3
1049,76,72,4
1050,1853,181,5
1051,429,2,2
1052,1682,164,4
1053,228,223,3
1054,1166,129,4
1055,350,142,2
1056,1352,190,5
1057,1377,175,5
1058,1158,45,1
1059,1205,33,1
1060,261,67,5
1061,1753,59,5
1062,1493,201,3
1063,393,218,1
1064,1987,178,5
1065,1259,65,5
1066,1809,117,1
1067,1921,110,1
1068,1749,241,3
1069,886,217,4
1070,562,32,5
1071,956,127,3
1072,1060,195,1
1073,1811,185,2
1074,97,72,4
1075,1091,115,3
1076,11,101,2
1077,686,21,5
1078,1655,7,2
1079,1413,109,1
1080,1879,64,2
1081,337,85,3
1082,129,161,1
1083,58,123,4
1084,1655,7,5
1085,1633,161,3
1086,1722,65,2
1087,221,122,2
1088,1964,88,1
1089,1683,86,5
1090,1627,61,1
1091,1589,154,5
1092,899,196,1
1093,1281,115,5
1094,256,22,1
1095,1878,9,4
1096,642,228,1
1097,1603,33,1
1098,1883,206,4
1099,113,78,5
1100,1283,111,1
1101,209,174,1
1102,1146,14,3
1103,1741,98,4
1104,197,159,4
1105,478,222,5
1106,1613,169,5
1107,22,117,4
1108,951,204,4
1109,1803,159,5
1110,208,87,1
1111,930,133,3
1112,1204,50,1
1113,211,4,5
1114,1461,18,5
1115,1617,216,2
1116,1853,147,2
1117,1306,131,3
1118,728,108,4
1119,1485,159,4
1120,381,63,2
1121,1633,12,1
1122,262,80,5
1123,893,132,3
1124,638,150,5
1125,1589,38,2
1126,962,80,5
1127,703,75,3
1128,1988,3,5
1129,1202,169,2
1130,118,61,5
1131,1678,214,5
1132,1759,14,4
1133,705,51,2
1134,1312,233,2
1135,1609,18,3
1136,388,171,4
1137,1423,178,4
1138,1229,178,3
1139,1745,149,5
1140,1973,86,5
1141,614,108,3
1142,333,27,4
1143,1795,203,1
1144,1016,57,1
1145,1309,58,2
1146,956,160,2
1147,490,124,3
1148,1654,190,4
1149,421,103,2
1150,1692,2,3
1151,21,19,3
1152,62,143,1
1153,292,75,4
1154,399,162,5
1155,1870,196,3
1156,90,250,1
1157,408,51,3
1158,357,57,3
1159,1473,45,3
1160,1736,142,2
1161,366,51,1
1162,361,216,3
1163,1866,26,1
1164,1703,174,2
1165,777,168,1
1166,694,240,2
1167,625,117,2
1168,758,208,3
1169,1354,44,5
1170,1637,160,4
1171,1799,183,1
1172,243,37,2
1173,1628,49,2
1174,1091,97,3
1175,652,154,4
1176,1303,63,1
1177,1563,158,5
1178,388,219,5
1179,603,203,2
1180,672,64,1
1181,1290,204,3
1182,1788,33,5
1183,1984,150,4
1184,429,187,1
1185,1607,121,5
1186,133,43,5
1187,795,193,5
1188,767,128,5
1189,951,46,3
1190,1460,96,5
1191,1423,124,4
1192,971,69,5
1193,822,164,5
1194,1331,10,2
1195,450,230,2
1196,926,221,2
1197,811,56,3
1198,871,228,4
1199,1171,41,3
1200,522,141,1
1201,276,193,1
1202,605,114,5
1203,721,59,5
1204,85,120,5
1205,1273,87,4
1206,924,120,4
1207,838,95,4
1208,650,70,4
1209,51,46,4
1210,479,68,1
1211,736,231,1
1212,604,216,5
1213,1051,140,1
1214,1610,71,2
1215,202,31,1
1216,738,10,5
1217,411,86,2
1218,1383,85,3
1219,620,191,3
1220,391,181,5
1221,283,219,5
1222,1869,67,1
1223,1578,77,3
1224,1685,89,4
1225,1938,104,5
1226,1552,168,1
1227,967,168,5
1228,1559,244,2
1229,1773,102,2
1230,465,186,2
1231,972,60,5
1232,1203,202,5
1233,1552,120,4
1234,698,203,1
1235,642,217,2
1236,879,198,4
1237,430,113,4
1238,1747,143,1
1239,768,36,5
1240,1790,33,3
1241,1932,189,1
1242,1024,208,3
1243,696,58,4
1244,872,176,4
1245,1563,200,5
1246,614,84,5
1247,48,146,1
1248,1889,36,2
1249,1952,85,5
1250,1290,205,5
1251,1872,156,5
1252,1776,101,4
1253,419,243,4
1254,131,137,4
1255,386,122,1
1256,674,146,4
1257,1309,230,3
1258,191,44,1
1259,1383,142,2
1260,66,212,5
1261,1001,7,2
1262,408,18,4
1263,582,53,2
1264,597,169,5
1265,144,117,1
1266,755,133,1
1267,352,84,4
1268,801,41,1
1269,265,138,4
1270,980,191,1
1271,797,245,2
1272,267,223,2
1273,635,111,4
1274,326,155,5
1275,1924,80,5
1276,416,129,4
1277,565,52,1
1278,293,115,1
1279,1689,103,5
1280,1654,64,5
1281,674,234,5
1282,1801,126,4
1283,948,148,1
1284,1510,24,3
1285,1324,226,4
1286,711,180,3
1287,801,157,2
1288,851,64,2
1289,1844,159,4
1290,938,99,2
1291,1431,146,1
1292,806,179,1
1293,491,227,2
1294,561,226,5
1295,598,171,1
1296,1430,186,2
1297,1862,127,4
1298,1561,142,1
1299,756,20,1
1300,1034,197,3
1301,840,116,2
1302,518,54,5
1303,92,119,1
1304,150,164,4
1305,781,88,4
1306,1753,50,4
1307,78,3,3
1308,235,182,2
1309,670,172,4
1310,993,119,1
1311,170,141,2
1312,1462,244,4
1313,288,121,3
1314,1724,42,2
1315,1718,5,5
1316,206,46,3
1317,255,137,4
1318,345,20,1
1319,1388,70,2
1320,903,92,2
1321,444,183,1
1322,1829,173,5
1323,443,114,1
1324,1714,163,5
1325,1313,170,1
1326,800,177,3
1327,910,14,5
1328,10,13,4
1329,1572,52,2
1330,768,233,2
1331,410,24,1
1332,864,8,1
1333,691,211,2
1334,1393,172,1
1335,452,246,1
1336,1633,214,2
1337,1483,43,1
1338,852,132,1
1339,1671,84,3
1340,1152,161,2
1341,1280,54,5
1342,810,241,4
1343,248,60,2
1344,217,92,3
1345,356,4,4
1346,1340,81,1
1347,798,55,4
1348,451,17,3
1349,1332,160,3
1350,90,18,2
1351,842,78,5
1352,1024,27,5
1353,1621,237,5
1354,352,65,1
1355,1229,84,4
1356,1389,237,2
1357,681,45,3
1358,1744,171,4
1359,139,86,1
1360,1247,234,5
1361,920,98,5
1362,1312,190,2
1363,1032,151,1
1364,477,6,5
1365,1555,230,1
1366,633,61,4
1367,1551,63,5
1368,163,16,2
1369,768,128,3
1370,414,39,4
1371,419,165,1
1372,488,237,5
1373,1938,114,3
1374,275,72,3
1375,1319,202,1
1376,1067,203,4
1377,1328,209,3
1378,1538,7,2
1379,1735,188,3
1380,702,63,2
1381,1105,14,2
1382,1642,176,2
1383,1246,224,4
1384,1068,83,2
1385,906,162,1
1386,133,223,4
1387,144,245,2
1388,107,163,2
1389,1922,53,2
1390,188,45,5
1391,1125,213,2
1392,484,130,1
1393,873,186,4
1394,638,43,2
1395,502,109,2
1396,1241,64,3
1397,585,148,4
1398,1982,163,2
1399,557,221,4
1400,164,244,3
1401,816,97,2
1402,965,113,4
1403,1035,157,4
1404,1558,40,4
1405,41,196,4
1406,876,219,1
1407,1555,233,3
1408,1219,138,2
1409,1133,187,2
1410,527,98,4
1411,627,117,3
1412,769,144,5
1413,985,19,3
1414,280,184,4
1415,401,40,2
1416,9,4,5
1417,1496,186,3
1418,1007,104,4
1419,1926,102,3
1420,787,126,3
1421,1313,151,1
1422,838,227,1
1423,1888,32,4
1424,1910,145,2
1425,398,196,4
1426,1961,66,3
1427,1044,182,4
1428,1301,177,3
1429,1427,15,4
1430,1898,109,2
1431,497,123,1
1432,1888,209,3
1433,1293,181,1
1434,1429,171,2
1435,536,155,4
1436,1934,175,2
1437,521,64,5
1438,1185,244,2
1439,26,30,1
1440,1320,183,4
1441,815,181,5
1442,1996,231,1
1443,1062,233,2
1444,1795,109,2
1445,1700,110,3
1446,1417,78,5
1447,1982,137,4
1448,1201,79,4
1449,1542,225,1
1450,224,163,5
1451,1591,205,3
1452,1668,37,3
1453,1534,54,4
1454,1432,79,1
1455,345,209,4
1456,4,25,1
1457,1585,179,4
1458,1076,107,3
1459,1502,111,2
1460,362,96,2
1461,1442,35,2
1462,997,47,5
1463,1943,29,4
1464,1162,209,2
1465,381,52,1
1466,1536,47,2
1467,532,231,4
1468,903,161,5
1469,224,223,2
1470,164,76,1
1471,774,32,3
1472,132,88,1
1473,1200,61,4
1474,994,173,1
1475,20,16,3
1476,1540,245,1
1477,1363,150,1
1478,199,55,5
1479,1622,2,4
1480,1235,134,3
1481,1909,125,4
1482,1551,87,5
1483,880,87,3
1484,1397,228,3
1485,646,210,2
1486,1928,93,4
1487,776,157,1
1488,1998,92,3
1489,1652,26,1
1490,936,223,4
1491,1486,214,2
1492,53,155,1
1493,1780,136,3
1494,1948,180,2
1495,755,116,5
1496,1406,169,4
1497,1055,106,2
1498,7,164,3
1499,35,163,3
1500,1789,12,3
1501,1389,114,2
1502,1243,125,4
1503,1514,157,1
1504,714,110,4
1505,1349,220,1
1506,1504,99,3
1507,1244,50,2
1508,1782,134,5
1509,1608,220,5
1510,66,33,4
1511,1632,23,3
1512,1705,173,5
1513,1792,120,2
1514,1836,115,1
1515,988,170,5
1516,494,63,2
1517,350,193,1
1518,217,112,1
1519,329,238,3
1520,1849,99,3
1521,452,185,3
1522,1364,122,1
1523,1363,35,5
1524,1298,186,4
1525,186,204,3
1526,1786,58,5
1527,1570,237,5
1528,133,165,3
1529,773,234,4
1530,1340,165,5
1531,1979,220,4
1532,1656,60,2
1533,531,30,3
1534,180,29,1
1535,697,190,5
1536,1920,49,1
1537,1174,95,2
1538,1748,81,4
1539,1182,189,1
1540,637,16,5
1541,1097,49,4
1542,868,82,3
1543,1634,174,2
1544,1065,170,5
1545,1210,57,1
1546,810,3,5
1547,1746,118,3
1548,297,209,3
1549,1715,57,4
1550,1393,117,2
1551,1232,73,2
1552,1530,171,1
1553,1227,82,3
1554,1029,177,1
1555,561,218,5
1556,980,162,2
1557,1014,75,4
1558,121,208,3
1559,313,212,2
1560,1737,188,2
1561,1435,189,1
1562,1891,222,2
1563,1755,125,4
1564,613,209,2
1565,45,141,4
1566,692,109,4
1567,714,194,4
1568,801,19,5
1569,1489,73,3
1570,1427,237,2
1571,1436,220,5
1572,807,25,2
1573,663,193,5
1574,1774,207,1
